State,Capital,Map
Ontario,Toronto,568px-Ontario_in_Canada_2.svg.png
Quebec,Quebec City,568px-Quebec_in_Canada_2.svg.png
Nova Scotia,Halifax,568px-Nova_Scotia_in_Canada_2.svg.png
New Brunswick,Fredericton,568px-New_Brunswick_in_Canada_2.svg.png
Manitoba,Winnipeg,568px-Manitoba_in_Canada_2.svg.png
British Columbia,Victoria,568px-British_Columbia_in_Canada_2.svg.png
Prince Edward Island,Charlottetown,568px-Prince_Edward_Island_in_Canada_(special_marker)_2.svg.png
Saskatchewan,Regina,568px-Saskatchewan_in_Canada_2.svg.png
Alberta,Edmonton,568px-Alberta_in_Canada_2.svg.png
Newfoundland and Labrador,St. John's,568px-Newfoundland_and_Labrador_in_Canada_2.svg.png
Northwest Territories,Yellowknife,568px-Northwest_Territories_in_Canada_2.svg.png
Yukon,Whitehorse,568px-Yukon_in_Canada_2.svg.png
Nunavut,Iqaluit,568px-Nunavut_in_Canada_2.svg.png