State,ST,Capital,Longitude,Latitude,Map
Alabama,AL,Montgomery,-86.300280684889,32.3778448300578,640px-Alabama_in_United_States.svg.png
Alaska,AK,Juneau,-134.419720089079,58.3019435628538,640px-Alaska_in_United_States_(US50)_(+grid)_(W3).svg.png
Arizona,AZ,Phoenix,-112.097002114648,33.448056962118,640px-Arizona_in_United_States.svg.png
Arkansas,AR,Little Rock,-92.2891966155731,34.74671389912,640px-Arkansas_in_United_States.svg.png
California,CA,Sacramento,-121.493173407028,38.5766379822497,640px-California_in_United_States.svg.png
Colorado,CO,Denver,-104.984882535635,39.7393011782883,640px-Colorado_in_United_States.svg.png
Connecticut,CT,Hartford,-72.682265685282,41.7640478075494,640px-Connecticut_in_United_States_(zoom).svg.png
Delaware,DE,Dover,-75.521440669349,39.1598182563424,640px-Delaware_in_United_States_(zoom).svg.png
Florida,FL,Tallahassee,-84.2814103124204,30.4379800379088,640px-Florida_in_United_States.svg.png
Georgia,GA,Atlanta,-84.3882728102467,33.7491105069311,640px-Georgia_in_United_States.svg.png
Hawaii,HI,Honolulu,-157.857644685749,21.3071891251897,640px-Hawaii_in_United_States_(US50)_(+grid)_(zoom)_(W3).svg.png
Idaho,ID,Boise,-116.200071549668,43.6173976205726,640px-Idaho_in_United_States.svg.png
Illinois,IL,Springfield,-89.6838561293087,39.7992266437577,640px-Illinois_in_United_States.svg.png
Indiana,IN,Indianapolis,-86.1619162318749,39.7682876590079,640px-Indiana_in_United_States.svg.png
Iowa,IA,Des Moines,-93.6038299676467,41.591203450586,640px-Iowa_in_United_States.svg.png
Kansas,KS,Topeka,-95.6781165783569,39.0481868390344,640px-Kansas_in_United_States.svg.png
Kentucky,KY,Frankfort,-84.8752029177421,38.1868295579102,640px-Kentucky_in_United_States.svg.png
Louisiana,LA,Baton Rouge,-91.1873435440524,30.4561959742174,640px-Louisiana_in_United_States.svg.png
Maine,ME,Augusta,-69.7824740545278,44.3068311917176,640px-Maine_in_United_States.svg.png
Maryland,MD,Annapolis,-76.490730353326,38.9788809750953,640px-Maryland_in_United_States_(zoom).svg.png
Massachusetts,MA,Boston,-71.0635920009677,42.3585156598684,640px-Massachusetts_in_United_States_(zoom).svg.png
Michigan,MI,Lansing,-84.5554894724477,42.7337559214066,640px-Michigan_in_United_States.svg.png
Minnesota,MN,St. Paul,-93.1023668129999,44.9544483754758,640px-Minnesota_in_United_States.svg.png
Mississippi,MS,Jackson,-90.1821570985857,32.3038596464079,640px-Mississippi_in_United_States.svg.png
Missouri,MO,Jefferson City,-92.1729471612446,38.5792342520804,640px-Missouri_in_United_States.svg.png
Montana,MT,Helena,-112.017030200267,46.5844748792441,640px-Montana_in_United_States.svg.png
Nebraska,NE,Lincoln,-96.6997323196763,40.8080846893224,640px-Nebraska_in_United_States.svg.png
Nevada,NV,Carson City,-119.765996538968,39.1639658818133,640px-Nevada_in_United_States.svg.png
New Hampshire,NH,Concord,-71.5360412913525,43.2077286653951,640px-New_Hampshire_in_United_States_(zoom).svg.png
New Jersey,NJ,Trenton,-74.7701082395055,40.2205925416604,640px-New_Jersey_in_United_States_(zoom).svg.png
New Mexico,NM,Santa Fe,-105.939263846866,35.682385674315,640px-New_Mexico_in_United_States.svg.png
New York,NY,Albany,-73.7584566763079,42.6531923942429,640px-New_York_in_United_States.svg.png
North Carolina,NC,Raleigh,-78.6390536727153,35.7808620976202,640px-North_Carolina_in_United_States.svg.png
North Dakota,ND,Bismarck,-100.782425301832,46.8204800624107,640px-North_Dakota_in_United_States.svg.png
Ohio,OH,Columbus,-83.000216483074,39.9611972655304,640px-Ohio_in_United_States.svg.png
Oklahoma,OK,Oklahoma City,-97.5033086417702,35.4930913156566,640px-Oklahoma_in_United_States.svg.png
Oregon,OR,Salem,-123.030608818409,44.9383658965847,640px-Oregon_in_United_States.svg.png
Pennsylvania,PA,Harrisburg,-76.8841110484574,40.2651554758888,640px-Pennsylvania_in_United_States.svg.png
Rhode Island,RI,Providence,-71.4150694021695,41.8304368543275,640px-Rhode_Island_in_United_States_(zoom)_(extra_close).svg.png
South Carolina,SC,Columbia,-81.033361075349,34.0006222412432,640px-South_Carolina_in_United_States.svg.png
South Dakota,SD,Pierre,-100.345546329203,44.3671499721808,640px-South_Dakota_in_United_States.svg.png
Tennessee,TN,Nashville,-86.7844011981955,36.1658136639888,640px-Tennessee_in_United_States.svg.png
Texas,TX,Austin,-97.7403787162921,30.2746490151032,640px-Texas_in_United_States.svg.png
Utah,UT,Salt Lake City,-111.888143519988,40.7765189566751,640px-Utah_in_United_States.svg.png
Vermont,VT,Montpelier,-72.5804431413164,44.2619812631813,640px-Vermont_in_United_States_(zoom).svg.png
Virginia,VA,Richmond,-77.4334960632491,37.5387725441582,640px-Virginia_in_United_States.svg.png
Washington,WA,Olympia,-122.904762637417,47.0362418589047,640px-Washington_in_United_States.svg.png
West Virginia,WV,Charleston,-81.6126542355569,38.3363786775331,640px-West_Virginia_in_United_States.svg.png
Wisconsin,WI,Madison,-89.384196048713,43.0752429469311,640px-Wisconsin_in_United_States.svg.png
Wyoming,WY,Cheyenne,-104.820410067003,41.1407764260928,640px-Wyoming_in_United_States.svg.png